contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN71_c0_g1_i1,321,0.489097,0.019108,-0.02439,31,1.615422,106,0.07251,true,1.0,N03239
TRINITY_DN41_c0_g1_i1,234,0.581197,0.044118,-0.081633,31,1.571831,78,0.05249,true,1.0,N03201
TRINITY_DN68_c0_g1_i1,339,0.587021,-0.165829,0.0,68,2.394267,112,0.07666,true,1.0,N03002
TRINITY_DN22_c0_g1_i1,211,0.49763,-0.2,-0.037736,19,1.515117,70,0.049316,false,NA,NA
TRINITY_DN29_c0_g1_i1,306,0.529412,0.012346,-0.027778,39,1.819207,102,0.06665,true,1.0,N03275
TRINITY_DN57_c0_g1_i1,415,0.445783,-0.027027,0.017391,37,1.795906,137,0.094971,true,0.995204,N03240
TRINITY_DN0_c0_g1_i1,235,0.451064,-0.075472,-0.007752,21,1.766917,77,0.054443,true,1.0,N02677
TRINITY_DN0_c0_g2_i1,285,0.470175,-0.104478,0.033113,32,2.054054,94,0.066895,true,1.0,N02569
TRINITY_DN46_c0_g1_i1,756,0.451058,0.049853,-0.045783,78,2.03352,148,0.162842,true,0.97903,N02801
TRINITY_DN9_c0_g1_i2,437,0.576659,-0.087302,-0.027027,63,1.747445,144,0.098389,true,0.990868,N03245
TRINITY_DN9_c0_g1_i3,429,0.564103,-0.07438,0.005348,59,1.738393,142,0.09668,true,1.0,N03001
TRINITY_DN59_c0_g1_i1,444,0.43018,-0.068063,-0.280632,30,1.467284,83,0.095459,true,1.0,N01876
TRINITY_DN61_c0_g1_i1,225,0.502222,-0.044248,-0.017857,25,1.765537,75,0.051025,true,1.0,N03051
TRINITY_DN3_c0_g1_i1,542,0.468635,0.03937,0.055556,48,1.615499,179,0.115723,true,0.708333,N03259
TRINITY_DN3_c0_g1_i2,599,0.475793,-0.017544,-0.025478,53,1.563892,198,0.124512,true,0.901667,N03259
TRINITY_DN14_c0_g1_i2,617,0.479741,-0.067568,0.084112,54,1.528068,205,0.127197,true,0.993559,N03244
