contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN117_c0_g1_i1,201,0.353234,0.239437,-0.215385,10,1.691919,43,0.043701,false,NA,NA
TRINITY_DN108_c0_g1_i1,224,0.508929,-0.087719,-0.109091,27,1.875931,74,0.051758,true,0.96875,N00486
TRINITY_DN108_c2_g1_i1,227,0.537445,-0.04918,-0.12381,30,1.834591,63,0.052246,true,1.0,N00495
TRINITY_DN123_c1_g1_i1,306,0.346405,0.113208,-0.14,16,1.765597,73,0.061523,false,NA,NA
TRINITY_DN119_c0_g1_i1,214,0.537383,-0.008696,-0.090909,25,1.61827,70,0.049072,true,0.849206,N02398
TRINITY_DN71_c0_g1_i1,229,0.528384,0.041322,-0.018519,26,1.629447,69,0.05249,true,0.96729,N01066
TRINITY_DN71_c0_g1_i2,223,0.506726,0.044248,0.0,21,1.469868,67,0.051758,true,0.975124,N01062
TRINITY_DN19_c0_g1_i1,379,0.530343,-0.034826,-0.202247,46,1.728192,71,0.077881,true,0.946721,N00312
TRINITY_DN19_c1_g1_i1,209,0.545455,0.035088,0.052632,26,1.674576,56,0.048584,true,0.834677,N00333
TRINITY_DN41_c0_g1_i1,212,0.509434,-0.055556,-0.153846,22,1.604403,60,0.048828,true,0.976959,N00322
TRINITY_DN22_c0_g1_i1,386,0.476684,-0.119565,0.326733,49,2.26705,55,0.074707,false,NA,NA
TRINITY_DN29_c2_g1_i1,255,0.376471,0.0,0.069182,13,1.438802,36,0.05835,false,NA,NA
TRINITY_DN29_c3_g1_i1,247,0.530364,-0.007634,-0.068966,34,1.957576,62,0.057617,false,NA,NA
TRINITY_DN57_c2_g1_i1,243,0.415638,-0.029703,0.380282,13,1.239796,80,0.053223,false,NA,NA
TRINITY_DN0_c0_g1_i1,412,0.531553,-0.031963,0.129534,50,1.71982,99,0.092285,false,NA,NA
TRINITY_DN0_c0_g1_i10,292,0.520548,-0.065789,-0.114286,32,1.624761,49,0.063721,true,0.808219,N00321
TRINITY_DN0_c0_g1_i11,560,0.494643,-0.018051,-0.017668,57,1.664581,69,0.124268,true,0.986301,N00321
TRINITY_DN0_c0_g1_i12,412,0.533981,-0.018182,0.135417,49,1.668981,99,0.093262,false,NA,NA
TRINITY_DN0_c0_g1_i13,375,0.525333,0.045685,0.078652,48,1.85912,79,0.085693,true,0.977273,N01096
TRINITY_DN0_c0_g1_i15,511,0.475538,-0.061728,-0.029851,49,1.702638,90,0.117188,true,0.703313,N01866
TRINITY_DN0_c0_g1_i17,381,0.524934,0.04,0.082873,48,1.831731,70,0.08667,false,NA,NA
TRINITY_DN0_c0_g1_i18,599,0.492487,-0.091525,0.039474,59,1.638129,104,0.133301,true,0.746875,N01687
TRINITY_DN0_c0_g1_i19,304,0.490132,0.060403,0.070968,34,1.869078,101,0.071045,false,NA,NA
TRINITY_DN0_c0_g1_i20,843,0.434164,-0.032787,0.010482,62,1.562371,90,0.177002,true,0.712786,N02376
TRINITY_DN0_c0_g1_i21,709,0.4189,-0.097643,-0.024272,48,1.558099,55,0.152344,true,0.525763,N02376
TRINITY_DN0_c0_g1_i22,259,0.532819,0.086957,0.107438,34,1.863704,69,0.060791,false,NA,NA
TRINITY_DN0_c0_g1_i24,299,0.505017,0.059603,0.148649,32,1.684507,99,0.06958,true,0.92891,N00349
TRINITY_DN0_c0_g1_i25,344,0.517442,0.05618,0.060241,43,1.873354,73,0.080078,true,0.985294,N01839
TRINITY_DN0_c0_g1_i26,931,0.44898,-0.057416,0.048733,72,1.539656,86,0.191406,true,0.929016,N01686
TRINITY_DN0_c0_g1_i3,219,0.497717,0.100917,0.127273,25,1.862245,73,0.05127,false,NA,NA
TRINITY_DN0_c0_g1_i5,225,0.511111,0.130435,0.127273,27,1.869231,66,0.05249,false,NA,NA
TRINITY_DN0_c0_g2_i1,496,0.332661,0.090909,0.02719,16,1.175704,51,0.103027,false,NA,NA
TRINITY_DN0_c0_g2_i2,508,0.389764,0.050505,0.083871,35,1.81874,62,0.106445,true,0.67162,N02374
TRINITY_DN0_c2_g1_i1,218,0.527523,0.113043,0.145631,25,1.66973,70,0.048828,true,0.765487,N01097
TRINITY_DN0_c2_g2_i1,248,0.572581,0.126761,0.188679,38,1.9,64,0.055664,true,0.43705,N00994
TRINITY_DN0_c2_g2_i2,264,0.55303,0.082192,0.220339,35,1.745702,67,0.059082,true,0.467509,N00993
TRINITY_DN0_c2_g3_i1,223,0.533632,0.142857,0.25,26,1.671857,64,0.050781,false,NA,NA
TRINITY_DN0_c3_g1_i1,372,0.451613,0.154762,0.068627,30,1.620444,51,0.085205,true,0.242991,N02554
TRINITY_DN0_c3_g1_i2,352,0.457386,0.130435,0.04712,29,1.602512,51,0.080078,true,0.33873,N01686
TRINITY_DN0_c7_g1_i1,275,0.323636,-0.011236,-0.032258,10,1.388889,37,0.061768,false,NA,NA
TRINITY_DN0_c10_g1_i1,259,0.548263,-0.126761,-0.111111,30,1.566532,86,0.058838,false,NA,NA
TRINITY_DN0_c12_g1_i1,233,0.527897,0.089431,0.127273,28,1.738806,76,0.054443,false,NA,NA
TRINITY_DN0_c12_g1_i3,237,0.489451,0.155172,0.173554,23,1.660372,65,0.054443,false,NA,NA
TRINITY_DN0_c12_g1_i4,212,0.481132,0.196078,0.145455,23,1.94962,70,0.049316,false,NA,NA
TRINITY_DN0_c12_g1_i5,228,0.526316,0.066667,0.111111,26,1.654018,62,0.052979,false,NA,NA
TRINITY_DN0_c12_g1_i6,231,0.519481,0.033333,0.153153,25,1.605951,63,0.053223,false,NA,NA
TRINITY_DN0_c12_g1_i7,242,0.491736,0.176471,0.186992,25,1.763848,79,0.056152,false,NA,NA
TRINITY_DN0_c21_g1_i1,626,0.35623,-0.004484,-0.101737,24,1.208494,56,0.125488,true,0.564741,N01061
