contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,340,0.479412,-0.018405,0.00565,32,1.638554,75,0.077393,true,0.974026,N02733
TRINITY_DN0_c0_g1_i10,538,0.447955,-0.062241,-0.010101,46,1.711007,81,0.116943,true,0.955769,N00125
TRINITY_DN0_c0_g1_i12,343,0.48105,-0.018182,0.011236,32,1.613169,76,0.077393,true,1.0,N02733
TRINITY_DN0_c0_g1_i13,546,0.43956,-0.058333,0.078431,38,1.445753,76,0.115479,true,0.923729,N00117
TRINITY_DN0_c0_g1_i14,334,0.491018,-0.073171,0.058824,36,1.797847,73,0.073486,false,NA,NA
TRINITY_DN0_c0_g1_i15,552,0.45471,-0.067729,0.043189,46,1.619594,79,0.118164,true,0.93578,N00127
TRINITY_DN0_c0_g1_i16,543,0.438306,-0.067227,0.042623,44,1.694829,76,0.116943,true,0.76779,N00119
TRINITY_DN0_c0_g1_i2,534,0.447566,-0.112971,0.084746,46,1.742375,73,0.115723,true,0.944015,N00121
TRINITY_DN0_c0_g1_i4,546,0.450549,-0.056911,0.02,43,1.556897,77,0.115479,true,0.938614,N00131
TRINITY_DN0_c0_g1_i5,546,0.432234,-0.050847,0.070968,37,1.454637,76,0.118896,true,0.938124,N02304
TRINITY_DN0_c0_g1_i7,202,0.509901,-0.223301,0.030303,22,1.763492,40,0.044434,false,NA,NA
TRINITY_DN0_c0_g1_i8,540,0.437037,-0.067797,0.039474,44,1.714286,75,0.117188,true,0.762172,N00119
TRINITY_DN0_c0_g1_i9,382,0.492147,-0.106383,0.020619,37,1.617903,77,0.085449,true,0.965517,N00112
TRINITY_DN0_c1_g1_i1,545,0.475229,-0.003861,-0.097902,42,1.364937,48,0.119141,true,0.116924,N02515
TRINITY_DN0_c1_g1_i2,1198,0.423205,0.04931,-0.151954,91,1.70059,58,0.238281,true,0.313366,N02515
TRINITY_DN3_c0_g1_i1,221,0.447964,0.313131,0.016393,18,1.8,72,0.04834,true,0.995495,N02734
TRINITY_DN15_c0_g1_i1,408,0.441176,0.044444,0.114035,27,1.362692,72,0.090332,true,0.97066,N02349
TRINITY_DN1_c0_g1_i1,361,0.440443,-0.018868,-0.138614,24,1.37132,62,0.082275,true,0.859189,N02367
TRINITY_DN1_c0_g2_i1,595,0.401681,-0.046025,-0.061798,37,1.544912,76,0.128662,true,0.931868,N02364
TRINITY_DN1_c0_g2_i2,611,0.397709,-0.012346,-0.043478,38,1.573035,90,0.134766,true,0.961783,N02361
TRINITY_DN1_c0_g2_i3,596,0.394295,-0.055319,-0.047091,37,1.602151,76,0.126709,true,0.905172,N02363
TRINITY_DN1_c0_g2_i5,343,0.370262,-0.070866,-0.092593,18,1.538883,64,0.072266,false,NA,NA
TRINITY_DN1_c0_g2_i6,443,0.431151,-0.036649,-0.079365,32,1.556434,74,0.09668,true,0.758945,N00115
TRINITY_DN1_c0_g2_i7,444,0.414414,-0.01087,-0.076923,29,1.521446,77,0.095215,false,NA,NA
TRINITY_DN1_c0_g3_i1,245,0.42449,-0.173077,-0.049645,20,1.86809,81,0.055908,true,0.995935,N02730
TRINITY_DN1_c0_g4_i1,222,0.5,-0.153153,0.153153,23,1.697473,73,0.050049,true,1.0,N02737
TRINITY_DN1_c0_g5_i1,434,0.407834,-0.028249,-0.143969,27,1.497317,75,0.095215,true,0.689189,N02308
TRINITY_DN1_c1_g1_i1,296,0.432432,0.125,0.059524,27,1.982143,35,0.069824,false,NA,NA
