contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN27_c0_g1_i1,274,0.529197,-0.117241,0.054264,36,1.902778,71,0.062744,false,NA,NA
TRINITY_DN27_c0_g1_i2,221,0.533937,-0.118644,-0.087379,31,1.996212,53,0.050781,true,0.568123,N00873
TRINITY_DN27_c0_g1_i3,234,0.517094,-0.07438,-0.00885,28,1.8,77,0.053467,true,1.0,N02064
TRINITY_DN29_c0_g1_i1,228,0.508772,-0.017241,0.160714,23,1.559322,76,0.051514,true,1.0,N01844
TRINITY_DN51_c0_g1_i1,276,0.507246,0.042857,0.073529,29,1.636475,91,0.064697,true,1.0,N03038
TRINITY_DN0_c0_g1_i10,444,0.52027,0.064935,0.089202,55,1.838302,102,0.103027,true,0.950617,N00048
TRINITY_DN0_c0_g1_i12,327,0.513761,0.083333,0.106918,34,1.586699,108,0.075684,true,0.982456,N02042
TRINITY_DN0_c0_g1_i13,312,0.538462,0.071429,0.138889,33,1.466667,103,0.071045,false,NA,NA
TRINITY_DN0_c0_g1_i14,216,0.49537,0.065421,-0.211009,32,2.425263,72,0.050537,true,0.544304,N00871
TRINITY_DN0_c0_g1_i15,312,0.512821,0.1,0.157895,31,1.526515,103,0.07251,false,NA,NA
TRINITY_DN0_c0_g1_i16,213,0.483568,0.184466,-0.018182,20,1.662763,71,0.048584,false,NA,NA
TRINITY_DN0_c0_g1_i18,492,0.47561,0.008547,0.100775,52,1.869082,103,0.110107,true,0.946565,N00872
TRINITY_DN0_c0_g1_i2,498,0.473896,0.016949,0.152672,47,1.681466,103,0.111084,true,0.96875,N01007
TRINITY_DN0_c0_g1_i20,324,0.521605,0.088757,0.135484,32,1.46358,107,0.075195,true,0.977778,N02029
TRINITY_DN0_c0_g1_i21,492,0.479675,0.0,0.101563,52,1.837403,103,0.110596,true,0.946565,N00872
TRINITY_DN0_c0_g1_i22,266,0.43609,0.017241,-0.053333,33,2.610169,76,0.059814,true,0.54267,N01878
TRINITY_DN0_c0_g1_i3,324,0.521605,0.088757,0.122581,32,1.46358,107,0.075195,true,0.991111,N02029
TRINITY_DN0_c0_g1_i4,213,0.521127,0.135135,-0.058824,22,1.549603,70,0.049072,false,NA,NA
TRINITY_DN0_c0_g1_i5,441,0.503401,0.045045,0.077626,47,1.68567,103,0.102051,true,0.897917,N01007
TRINITY_DN0_c0_g1_i6,315,0.52381,0.042424,0.146667,34,1.576391,104,0.072754,true,0.886364,N02583
TRINITY_DN0_c0_g1_i7,312,0.519231,0.0,0.173333,30,1.426612,103,0.071777,false,NA,NA
TRINITY_DN0_c0_g1_i8,250,0.536,-0.014925,0.241379,20,1.114082,83,0.058594,false,NA,NA
TRINITY_DN0_c1_g1_i1,246,0.50813,-0.024,0.07438,34,2.142418,66,0.057617,true,0.495833,N00053
TRINITY_DN0_c2_g1_i1,463,0.488121,0.017699,0.105485,54,1.958637,123,0.105469,true,0.638831,N01006
TRINITY_DN0_c2_g1_i2,211,0.421801,0.033708,0.081967,15,1.600101,51,0.048584,false,NA,NA
TRINITY_DN0_c2_g2_i1,258,0.542636,0.014286,0.0,35,1.843233,67,0.05957,true,0.77116,N00050
TRINITY_DN9_c0_g1_i1,211,0.483412,0.039216,-0.119266,21,1.706199,66,0.047363,false,NA,NA
TRINITY_DN9_c0_g1_i10,211,0.521327,0.054545,-0.128713,24,1.679045,66,0.047607,false,NA,NA
TRINITY_DN9_c0_g1_i2,211,0.516588,0.06422,-0.156863,23,1.640636,66,0.048096,false,NA,NA
TRINITY_DN9_c0_g1_i3,211,0.511848,0.018519,-0.145631,23,1.664837,66,0.048096,true,1.0,N02181
TRINITY_DN9_c0_g1_i4,223,0.520179,0.0,-0.140187,32,2.121284,70,0.052246,true,0.976526,N02140
TRINITY_DN9_c0_g1_i6,223,0.493274,0.018182,-0.115044,30,2.212302,70,0.050781,false,NA,NA
TRINITY_DN9_c0_g1_i7,204,0.519608,0.0,-0.265306,22,1.597722,64,0.047363,false,NA,NA
TRINITY_DN9_c0_g1_i8,214,0.495327,0.037736,-0.166667,20,1.525847,67,0.049072,true,0.980392,N02167
TRINITY_DN9_c0_g1_i9,238,0.504202,-0.066667,-0.084746,28,1.859375,75,0.05542,true,0.986842,N02108
TRINITY_DN9_c0_g2_i1,210,0.514286,0.0,-0.254902,20,1.440329,69,0.04834,true,0.971831,N02129
TRINITY_DN9_c0_g2_i2,210,0.514286,-0.037037,-0.235294,22,1.586538,69,0.049316,true,1.0,N02119
TRINITY_DN25_c0_g1_i1,212,0.476415,-0.089109,-0.009009,20,1.675889,70,0.04834,true,0.957746,N02023
TRINITY_DN25_c0_g1_i2,219,0.502283,-0.090909,-0.045872,23,1.679,72,0.051025,true,0.968037,N02018
TRINITY_DN25_c0_g1_i3,219,0.515982,-0.115044,-0.018868,25,1.738095,72,0.051025,true,0.968037,N02020
TRINITY_DN36_c1_g1_i1,212,0.476415,-0.108911,0.243243,18,1.514286,70,0.047607,true,0.957944,N02973
TRINITY_DN15_c0_g1_i3,215,0.502326,0.111111,0.009346,26,1.940972,70,0.050293,true,0.981221,N02026
TRINITY_DN15_c0_g1_i4,215,0.493023,0.075472,0.06422,21,1.616541,70,0.050049,true,0.976526,N02032
TRINITY_DN1_c0_g1_i1,216,0.486111,-0.009524,-0.207207,18,1.41074,71,0.047119,true,0.976415,N02970
TRINITY_DN1_c0_g1_i2,236,0.491525,-0.017241,-0.233333,24,1.684211,67,0.05542,false,NA,NA
TRINITY_DN1_c0_g1_i4,213,0.497653,-0.037736,-0.196262,18,1.366845,70,0.046875,true,0.971014,N02633
TRINITY_DN1_c0_g1_i5,520,0.401923,-0.023923,-0.151125,41,1.953454,69,0.10498,true,0.842905,N00036
TRINITY_DN1_c0_g1_i6,228,0.504386,-0.043478,-0.256637,23,1.589091,69,0.052246,true,0.381034,N00034
