contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,1178,0.404075,0.02521,-0.082621,87,1.810451,77,0.228271,true,0.25463,N02512
TRINITY_DN0_c0_g1_i2,1192,0.405201,0.039337,-0.091678,87,1.780876,77,0.228271,true,0.25463,N02512
TRINITY_DN0_c0_g2_i1,277,0.469314,0.061538,0.07483,19,1.250416,92,0.063965,true,0.953488,N02723
TRINITY_DN0_c0_g3_i1,536,0.455224,-0.155738,0.123288,34,1.254837,72,0.107666,false,NA,NA
TRINITY_DN0_c1_g1_i1,258,0.488372,-0.095238,0.136364,27,1.771167,85,0.060059,true,1.0,N03052
TRINITY_DN0_c1_g1_i2,456,0.436404,-0.075377,-0.136187,45,2.084518,91,0.096924,true,0.958425,N01264
TRINITY_DN0_c1_g1_i3,464,0.435345,-0.069307,-0.114504,45,2.056738,91,0.099121,true,0.962801,N01264
TRINITY_DN0_c1_g1_i5,322,0.478261,-0.090909,0.035714,31,1.697619,85,0.074219,false,NA,NA
TRINITY_DN0_c1_g1_i6,328,0.515244,-0.112426,-0.031447,35,1.628369,100,0.075684,true,0.988636,N01764
TRINITY_DN0_c1_g2_i1,226,0.464602,-0.12381,-0.107438,22,1.831982,75,0.053467,true,0.806452,N01767
TRINITY_DN0_c1_g3_i1,351,0.450142,-0.063291,-0.067358,31,1.750483,92,0.079346,true,1.0,N02462
TRINITY_DN0_c1_g4_i1,365,0.421918,-0.12987,-0.004739,39,2.4421,81,0.082031,true,0.96875,N02352
TRINITY_DN2_c0_g1_i1,293,0.508532,0.14094,0.111111,21,1.131066,52,0.061035,false,NA,NA
