contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,396,0.515152,-0.039216,-0.052083,42,1.601078,131,0.088135,true,0.967172,N02897
TRINITY_DN0_c0_g1_i10,303,0.518152,-0.019108,0.068493,35,1.721591,101,0.069824,true,0.856269,N02959
TRINITY_DN0_c0_g1_i11,354,0.491525,-0.022989,0.011111,36,1.6846,117,0.081299,true,0.99435,N02892
TRINITY_DN0_c0_g1_i12,387,0.509044,-0.086294,0.031579,39,1.56729,128,0.084961,true,0.994832,N02900
TRINITY_DN0_c0_g1_i13,316,0.525316,-0.060241,0.146667,39,1.795455,104,0.07251,false,NA,NA
TRINITY_DN0_c0_g1_i14,349,0.507163,-0.050847,0.011628,39,1.74232,115,0.07959,true,0.997126,N02882
TRINITY_DN0_c0_g1_i15,316,0.515823,-0.042945,0.137255,37,1.763499,104,0.072266,false,NA,NA
TRINITY_DN0_c0_g1_i16,396,0.515152,-0.039216,-0.03125,42,1.601078,131,0.087646,true,0.989899,N02897
TRINITY_DN0_c0_g1_i17,362,0.513812,-0.075269,-0.102273,46,1.936279,120,0.079834,true,0.898219,N02894
TRINITY_DN0_c0_g1_i4,359,0.506964,-0.10989,-0.084746,39,1.711404,119,0.080322,true,0.956989,N02852
TRINITY_DN0_c0_g1_i5,300,0.51,-0.058824,-0.102041,32,1.646091,100,0.065918,true,0.760814,N02886
TRINITY_DN0_c0_g1_i7,349,0.501433,-0.028571,-0.022989,32,1.459869,115,0.078125,true,0.977011,N02962
TRINITY_DN0_c0_g1_i8,396,0.510101,-0.069307,-0.072165,48,1.87234,131,0.087158,true,0.941476,N02894
TRINITY_DN9_c0_g1_i1,422,0.635071,-0.067164,0.0,81,1.91228,139,0.091309,true,0.997636,N02896
TRINITY_DN3_c0_g1_i1,336,0.5,-0.047619,0.0,33,1.575,111,0.078369,true,0.979532,N02888
TRINITY_DN1_c0_g1_i1,222,0.495495,-0.036364,-0.107143,24,1.763654,73,0.052002,false,NA,NA
TRINITY_DN1_c0_g1_i2,222,0.5,-0.063063,-0.117117,24,1.736636,73,0.052002,false,NA,NA
TRINITY_DN7_c0_g1_i1,384,0.505208,-0.020619,0.042105,36,1.469856,127,0.084717,true,1.0,N02903
TRINITY_DN6_c0_g1_i1,452,0.59292,0.149254,0.043478,78,2.008202,149,0.098389,true,0.997792,N02895
